,SMILES,set,SMILES_canonical,novel
44,CCC(CCCC)C(=O)C1(c2ccccc2)C(=O)CCN1CC(N)=O,prior,CCCCC(CC)C(=O)C1(c2ccccc2)C(=O)CCN1CC(N)=O,1
45,Cc1cccc(S(=O)(=O)C(=O)NCCN2CCCCCC2)n1,prior,Cc1cccc(S(=O)(=O)C(=O)NCCN2CCCCCC2)n1,1
47,O=C1N(Cc2ccc(O)cc2)C2CC1=C1CCC2CCCN1c1ccccc1F,prior,O=C1C2=C3CCC(CCCN3c3ccccc3F)C(C2)N1Cc1ccc(O)cc1,1
48,CCCCCCNC(=O)c1ccccc1Cl,prior,CCCCCCNC(=O)c1ccccc1Cl,1
49,CCOC(=O)C(C)N1CCN(c2nc(O[C@@H]3OC[C@H](C(=O)Nc4ccc(Br)cc4)C(=O)C3)[nH]c2C(C)C)CCCN1.Cl,prior,CCOC(=O)C(C)N1CCN(c2nc(O[C@H]3CC(=O)[C@@H](C(=O)Nc4ccc(Br)cc4)CO3)[nH]c2C(C)C)CCCN1.Cl,1
50,O=[N+]([O-])c1ccc(C(F)(F)F)cc1,prior,O=[N+]([O-])c1ccc(C(F)(F)F)cc1,1
51,CC(=O)N(Cc1cn(C)c2ccccc12)c1cccc(Cl)c1,prior,CC(=O)N(Cc1cn(C)c2ccccc12)c1cccc(Cl)c1,1
52,CN1CCc2c(ncc3[nH]cnc32)C1,prior,CN1CCc2c(ncc3[nH]cnc23)C1,1
53,COc1cc2nc(O)c3ccccc3nc2c1,prior,COc1cc2nc(O)c3ccccc3nc-2c1,1
55,COc1ccc(-n2nnc(S(=O)(=O)N[C@@H](Cc3ccc(C(F)(F)F)cc3)C(=O)O)c2)cc1.Cl,prior,COc1ccc(-n2cc(S(=O)(=O)N[C@@H](Cc3ccc(C(F)(F)F)cc3)C(=O)O)nn2)cc1.Cl,1
56,CC(C)CN(CC)C1CC[C@@H]2[C@H](O)[C@H](C)[C@]12OC(C)=O,prior,CCN(CC(C)C)C1CC[C@@H]2[C@H](O)[C@H](C)[C@]12OC(C)=O,1
57,COC1(CO)CCN(c2ccccc2)CC1CCc1ccc(Cl)c(Cl)c1,prior,COC1(CO)CCN(c2ccccc2)CC1CCc1ccc(Cl)c(Cl)c1,1
58,CCCCOC(=O)C12CC3CC(C32)C1=O,prior,CCCCOC(=O)C12CC3CC(C1=O)C32,1
59,CCCCCCCN(CCc1c[nH]c2ccccc12)C(=O)N[N+](=O)[O-],prior,CCCCCCCN(CCc1c[nH]c2ccccc12)C(=O)N[N+](=O)[O-],1
60,CC(C)c1cc(N2CCOCC2)c(=O)sc1OC,prior,COc1sc(=O)c(N2CCOCC2)cc1C(C)C,1
61,CCNC(c1ccc(N(C(=O)c2ccc(Cl)c(F)c2)C(=O)O)cc1)c1ccccc1,prior,CCNC(c1ccccc1)c1ccc(N(C(=O)O)C(=O)c2ccc(Cl)c(F)c2)cc1,1
63,COC(=O)C1=C(C)C=C[C@H]2OC[C@@H]12,prior,COC(=O)C1=C(C)C=C[C@H]2OC[C@@H]12,1
64,N#Cc1ccccc1C(=O)O,prior,N#Cc1ccccc1C(=O)O,1
65,CCCCCCCCCCCCC(C)Oc1nccnc1C,prior,CCCCCCCCCCCCC(C)Oc1nccnc1C,1
66,CC1(C)[C@H](C)[C@@H](N2CC[C@H]1CNC(=S)N[C@@H]1CNC(=O)CC2)c2ncccc21,prior,C[C@@H]1[C@@H]2c3ncccc3[C@H]3CNC(=O)CCN2CC[C@@H](CNC(=S)N3)C1(C)C,1
68,CN(C)CC(=O)Nc1ccc(-n2c(-c3ccccc3)nn3cc(Cl)cc3c2=O)cc1,prior,CN(C)CC(=O)Nc1ccc(-n2c(-c3ccccc3)nn3cc(Cl)cc3c2=O)cc1,1
70,COc1ccc(OC)cc1NC(=O)c1ccc(Cl)cc1,prior,COc1ccc(OC)c(NC(=O)c2ccc(Cl)cc2)c1,1
71,CC(NC(=O)CC1CCN(Cc2ccccc2)CC1)Cc1ccc(OC)c(OC)c1,prior,COc1ccc(CC(C)NC(=O)CC2CCN(Cc3ccccc3)CC2)cc1OC,1
72,CC1CCCN([C@H](c2ccccc2)c2ccccc2)CCC1,prior,CC1CCCN(C(c2ccccc2)c2ccccc2)CCC1,1
73,C[C@@H]1CC[C@H](C(=O)NCC(C)C)C(=O)C1,prior,CC(C)CNC(=O)[C@H]1CC[C@@H](C)CC1=O,1
74,Cc1cc(C(=O)C2CCCCN2)cc(C(F)(F)F)c1Cl,prior,Cc1cc(C(=O)C2CCCCN2)cc(C(F)(F)F)c1Cl,1
75,COc1ccc2c(c1)OCCCN2C(=O)c1ccc2ccccc2c1,prior,COc1ccc2c(c1)OCCCN2C(=O)c1ccc2ccccc2c1,1
76,CCCCc1cc(C)cc2c1C(=O)CC[C@H](C(=O)c1ccccc1C)NCCCCC2,prior,CCCCc1cc(C)cc2c1C(=O)CC[C@H](C(=O)c1ccccc1C)NCCCCC2,1
77,CCCCCCCNCC[C@@H](NC(=O)CCCC(=O)CC)C(C)(C)C,prior,CCCCCCCNCC[C@@H](NC(=O)CCCC(=O)CC)C(C)(C)C,1
78,O=C1c2c(C(=O)O)cccc2c2ccccc21,prior,O=C(O)c1cccc2c1C(=O)c1ccccc1-2,1
79,CCOC(=O)C1CC(N(C)C)C(=O)N1,prior,CCOC(=O)C1CC(N(C)C)C(=O)N1,1
80,CC1=CC(=O)CN1S(=O)(=O)c1ccccc1,prior,CC1=CC(=O)CN1S(=O)(=O)c1ccccc1,1
81,Cc1c[nH]o1,prior,Cc1c[nH]o1,1
82,CCNC(=O)NCCCN1CCN(C(=O)c2ccccc2OC(N)=O)CC1,prior,CCNC(=O)NCCCN1CCN(C(=O)c2ccccc2OC(N)=O)CC1,1
83,N#Cc1cc(C(=O)NC(CCc2ccccc2)c2ccc(OC)c(OC)c2)sc1O,prior,COc1ccc(C(CCc2ccccc2)NC(=O)c2cc(C#N)c(O)s2)cc1OC,1
85,CN1CCN(C(=O)CNC(=O)CC(=O)N2Cc3ccccc3N2C)CC1,prior,CN1CCN(C(=O)CNC(=O)CC(=O)N2Cc3ccccc3N2C)CC1,1
86,Cc1cc2c(C(=O)O)cccc2c(=O)c2c1C(=O)N(CCCNC(=O)C1(N(C)C)CC2)cc1C,prior,CC1=CN2CCCNC(=O)C1(N(C)C)CCc1c(c(C)cc3c(C(=O)O)cccc3c1=O)C2=O,1
89,CCCCNCCCCNC(=O)O[C@@H](O)C(=O)OCCNC(=O)c1c(-c2ccc(Br)cc2)cn[nH]c1=S,prior,CCCCNCCCCNC(=O)O[C@@H](O)C(=O)OCCNC(=O)c1c(-c2ccc(Br)cc2)cn[nH]c1=S,1
91,COc1cccc(CN(C)CCc2ccc(C(=O)NCCN3CCOC(C)C3)nn2)c1,prior,COc1cccc(CN(C)CCc2ccc(C(=O)NCCN3CCOC(C)C3)nn2)c1,1
93,COC(N)=O,prior,COC(N)=O,1
94,CNc1cc(N(C(=O)c2ccccc2)c2ccccc2)ncc1NCc1ccccc1,prior,CNc1cc(N(C(=O)c2ccccc2)c2ccccc2)ncc1NCc1ccccc1,1
95,CCOCCOCCNCC(=O)N[C@H]1CC[C@H](CO)[C@@H]1N1CCN(c2cc(F)ccc2OC)C1=O,prior,CCOCCOCCNCC(=O)N[C@H]1CC[C@H](CO)[C@@H]1N1CCN(c2cc(F)ccc2OC)C1=O,1
96,COc1ccc(C(=O)/C=C\C(=O)NC(C)C)cc1OC,prior,COc1ccc(C(=O)/C=C\C(=O)NC(C)C)cc1OC,1
97,CCCCOc1cc2ccc(Cl)cc2c2c1O[C@@H]1NCC[C@]12C,prior,CCCCOc1cc2ccc(Cl)cc2c2c1O[C@@H]1NCC[C@@]21C,1
98,CN(C)CCOc1ccc(-c2nc(C(=O)NC(C)(C)Nc3nc(C)oc3)nn2-c2ccc(Cl)cc2)cc1,prior,Cc1nc(NC(C)(C)NC(=O)c2nc(-c3ccc(OCCN(C)C)cc3)n(-c3ccc(Cl)cc3)n2)co1,1
99,Cc1cc(CN)nc(S(=O)(=O)N2CCCN2C(=O)c2ccc(C)cc2)c1,prior,Cc1ccc(C(=O)N2CCCN2S(=O)(=O)c2cc(C)cc(CN)n2)cc1,1
100,COC(=O)C(=O)c1ccc(N)nc1,prior,COC(=O)C(=O)c1ccc(N)nc1,1
101,CCNC(=O)C1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,prior,CCNC(=O)C1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,1
103,COc1ccc(-c2csc(N)c2SC2CC2)c(C)c1,prior,COc1ccc(-c2csc(N)c2SC2CC2)c(C)c1,1
104,COc1cc(C(F)(F)F)nc2sc(-c3cc(Cl)ccc3OC)nc12,prior,COc1ccc(Cl)cc1-c1nc2c(OC)cc(C(F)(F)F)nc2s1,1
105,Cc1cc(C)ccc1CC(=O)Nc1n[nH]c2ccccc12,prior,Cc1ccc(CC(=O)Nc2n[nH]c3ccccc23)c(C)c1,1
106,COc1cc(NC(=O)c2ccccc2F)ccc1OC,prior,COc1ccc(NC(=O)c2ccccc2F)cc1OC,1
107,CCCC(=O)/C=C\CCCOCCNC(=O)CCCCCOc1ccccc1,prior,CCCC(=O)/C=C\CCCOCCNC(=O)CCCCCOc1ccccc1,1
108,COc1ccc2c(c1)OC1CCC1c1cccc(C(C)(C)C)c1-2,prior,COc1ccc2c(c1)OC1CCC1c1cccc(C(C)(C)C)c1-2,1
109,C[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)NCCCCCCOC(=O)c1ccc(Cl)cc1,prior,C[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)NCCCCCCOC(=O)c1ccc(Cl)cc1,1
110,COc1ccccc1C(=O)OCCCCC(=O)Nc1cc(-c2ccc(NC(=O)N[C@H]3CCCCC3)cc2)cs1,prior,COc1ccccc1C(=O)OCCCCC(=O)Nc1cc(-c2ccc(NC(=O)NC3CCCCC3)cc2)cs1,1
112,Cc1nc(NC(C)C)c(CC(=O)N2CCCC2)nc1Cc1ccccc1,prior,Cc1nc(NC(C)C)c(CC(=O)N2CCCC2)nc1Cc1ccccc1,1
113,N=C(C(=O)Nc1ccc2c(c1)N(C)CC2)c1ccccc1F,prior,CN1CCc2ccc(NC(=O)C(=N)c3ccccc3F)cc21,1
114,CCOc1ccc(N(CCNc2ccccc2)C(=O)N[C@@H](C(=O)NC2CNCCO2)C(=O)N(C)C)cc1,prior,CCOc1ccc(N(CCNc2ccccc2)C(=O)N[C@@H](C(=O)NC2CNCCO2)C(=O)N(C)C)cc1,1
116,Cc1ccc(-c2cccc(C(=O)O)c2)cc1,prior,Cc1ccc(-c2cccc(C(=O)O)c2)cc1,1
117,CCCN(CCc1ccccc1)C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,prior,CCCN(CCc1ccccc1)C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,1
119,COC(N)Cc1cc(NC(=O)c2ccccc2)ccc1NC(=O)C1CCCCC1,prior,COC(N)Cc1cc(NC(=O)c2ccccc2)ccc1NC(=O)C1CCCCC1,1
120,Cc1c(Cl)cc2[nH]ncc2c1,prior,Cc1cc2cn[nH]c2cc1Cl,1
121,Cc1ccncc1C(=O)NC[Se]c1cccc(C(=O)O)c1,prior,Cc1ccncc1C(=O)NC[Se]c1cccc(C(=O)O)c1,1
122,CCOc1ccc(Oc2cc(OC)c(OC)c(OC)c2)cc1,prior,CCOc1ccc(Oc2cc(OC)c(OC)c(OC)c2)cc1,1
124,Cc1ccccc1C(=O)Nc1nc(-c2ccccc2)ccc1NC(=O)OCCCc1ccccc1,prior,Cc1ccccc1C(=O)Nc1nc(-c2ccccc2)ccc1NC(=O)OCCCc1ccccc1,1
125,COc1cccc(C2CC(c3ccc(N)nc3)CCN(CC3CCCN(C(=O)c4ccc(F)cc4Cl)C2)C3)c1,prior,COc1cccc(C2CC(c3ccc(N)nc3)CCN3CC(CCCN(C(=O)c4ccc(F)cc4Cl)C2)C3)c1,1
126,CCOC(=O)c1ccccc1CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,prior,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCc1ccccc1C(=O)OCC,1
128,N#Cc1ccc(C(=O)NC2CCCC2)cc1O,prior,N#Cc1ccc(C(=O)NC2CCCC2)cc1O,1
129,O=C(NC1CCCC1)Nc1ccc(C(=O)NCCCc2ccc(F)cc2)cc1,prior,O=C(Nc1ccc(C(=O)NCCCc2ccc(F)cc2)cc1)NC1CCCC1,1
130,CC(=O)Nc1cc(CN2CCCC(=O)N2C)oc1C,prior,CC(=O)Nc1cc(CN2CCCC(=O)N2C)oc1C,1
134,Cc1ccc(-n2c(C)nc(SCC(=O)N3CCN(Cc4ccc(C)cc4)CC3)n2)cc1F,prior,Cc1ccc(CN2CCN(C(=O)CSc3nc(C)n(-c4ccc(C)c(F)c4)n3)CC2)cc1,1
135,COc1ccc(C(=O)Nc2noc(CC3CC3)c2)c(CC(=O)NCC(N)=O)c1,prior,COc1ccc(C(=O)Nc2cc(CC3CC3)on2)c(CC(=O)NCC(N)=O)c1,1
136,Nc1c(C(F)(F)F)cc(C(=O)OCc2ccc(OC3CCCCN3)nn2)c(C)c1,prior,Cc1cc(N)c(C(F)(F)F)cc1C(=O)OCc1ccc(OC2CCCCN2)nn1,1
137,NCC1CCN(C2CCCCCC2)C1=O,prior,NCC1CCN(C2CCCCCC2)C1=O,1
139,CNC(C)C(CCCCN(C)C)CCN1CCC(=O)OC1c1ccccc1,prior,CNC(C)C(CCCCN(C)C)CCN1CCC(=O)OC1c1ccccc1,1
140,CCCC(C)(C)CCCCCCN(C)CCOCC(=O)OCC(=O)Nc1ccc(C)cc1,prior,CCCC(C)(C)CCCCCCN(C)CCOCC(=O)OCC(=O)Nc1ccc(C)cc1,1
144,O=C(NO)c1ccc(CN2CCOSC2)cc1,prior,O=C(NO)c1ccc(CN2CCOSC2)cc1,1
145,CC(=O)N1OCCN(CCc2ccccc2)CC1,prior,CC(=O)N1CCN(CCc2ccccc2)CCO1,1
146,Cc1nc(N)c2c(=O)[nH]nnc2n1,prior,Cc1nc(N)c2c(=O)[nH]nnc2n1,1
147,O=C(NCCCNCC(=O)c1ccc(Cl)cc1)Cc1ccc(C(F)(F)F)cc1,prior,O=C(Cc1ccc(C(F)(F)F)cc1)NCCCNCC(=O)c1ccc(Cl)cc1,1
148,Cc1cc(C(F)(F)F)cc(-n2cc(-c3cn(-c4ccccc4)o3)nn2)c1,prior,Cc1cc(-n2cc(-c3cn(-c4ccccc4)o3)nn2)cc(C(F)(F)F)c1,1
149,Cc1nccn1[C@@H]1CC(=O)N(CCCCN(CC(F)(F)F)C2CCOCC2)CC1,prior,Cc1nccn1[C@H]1CCN(CCCCN(CC(F)(F)F)C2CCOCC2)C(=O)C1,1
150,COCCN1C(=O)c2occ(O)c2CNC(=O)C1,prior,COCCN1CC(=O)NCc2c(O)coc2C1=O,1
151,c1ccc(C(=O)Nc2ccc(C)c3c(O)n(C)c(Nc4ccc(C(F)(F)F)cc4Cl)c23)cc1,prior,Cc1ccc(NC(=O)c2ccccc2)c2c(Nc3ccc(C(F)(F)F)cc3Cl)n(C)c(O)c12,1
152,CC(C)CNC(=O)Nc1cccc(S(=O)(=O)N2CCN(c3ccc(C(F)(F)F)nc3)CC2)c1,prior,CC(C)CNC(=O)Nc1cccc(S(=O)(=O)N2CCN(c3ccc(C(F)(F)F)nc3)CC2)c1,1
153,COc1cc2c(cc1NC(=O)Nc1cc(OCc3ccccc3)c(F)cc1O2)C(=O)c1cccc(C(F)(F)F)c1,prior,COc1cc2c(C(=O)c3cccc(C(F)(F)F)c3)cc1NC(=O)Nc1cc(OCc3ccccc3)c(F)cc1O2,1
154,CN(C)CCNC(=O)C(C)OCC(C(=O)OC)C(C)C,prior,COC(=O)C(COC(C)C(=O)NCCN(C)C)C(C)C,1
155,COc1ccc(C)cc1C(=O)N1CCC(O)(C(=O)O)CC1,prior,COc1ccc(C)cc1C(=O)N1CCC(O)(C(=O)O)CC1,1
158,CCN(CC)CCCN1CCC2C(CCCCc3ccccc3)C(=O)N(CC(=O)N3CCC(OCc4ccccc4)CC3)CC2C1,prior,CCN(CC)CCCN1CCC2C(C1)CN(CC(=O)N1CCC(OCc3ccccc3)CC1)C(=O)C2CCCCc1ccccc1,1
159,O=C1c2ccc(Cl)cc2CC(NCc2ccc(OC)cc2)C1c1ccccc1,prior,COc1ccc(CNC2Cc3cc(Cl)ccc3C(=O)C2c2ccccc2)cc1,1
160,O=C(c1ccccc1)c1ccc(S(=O)(=O)NCCN2CCCCC2)cc1,prior,O=C(c1ccccc1)c1ccc(S(=O)(=O)NCCN2CCCCC2)cc1,1
162,CN(CC(=O)NCCc1cc(F)c(F)c(F)c1)C(=O)Nc1ccccc1,prior,CN(CC(=O)NCCc1cc(F)c(F)c(F)c1)C(=O)Nc1ccccc1,1
163,CCCC(C)c1cccc(CN(CCc2ccc(N(C)C)cc2)Cc2ccco2)c1,prior,CCCC(C)c1cccc(CN(CCc2ccc(N(C)C)cc2)Cc2ccco2)c1,1
164,O=C(COC(=O)c1ccccc1)CCc1ccc(Nc2ccccc2)cc1,prior,O=C(CCc1ccc(Nc2ccccc2)cc1)COC(=O)c1ccccc1,1
165,O=C(c1cc(F)c(Cl)cc1)N1CCC2CCC(C(C)C)C(=O)OC21,prior,CC(C)C1CCC2CCN(C(=O)c3ccc(Cl)c(F)c3)C2OC1=O,1
166,Nc1nc(C(=O)O)cc(NC2CCOCC2)c1C,prior,Cc1c(NC2CCOCC2)cc(C(=O)O)nc1N,1
167,O=C(COc1ccc(Cl)cc1)N1CCOCC1,prior,O=C(COc1ccc(Cl)cc1)N1CCOCC1,1
168,C[C@H](OC(=O)c1ccccc1)c1cccc(C(=O)NCC(=O)O)c1,prior,C[C@H](OC(=O)c1ccccc1)c1cccc(C(=O)NCC(=O)O)c1,1
169,O=C1C(=O)Oc2cc(-c3ccc(F)cc3)ccc2C1=O,prior,O=C1Oc2cc(-c3ccc(F)cc3)ccc2C(=O)C1=O,1
171,CC1(C(=O)O)CCN(Cc2ccccc2Cl)CC1,prior,CC1(C(=O)O)CCN(Cc2ccccc2Cl)CC1,1
172,CCOc1ccc(C(=O)NCc2ccccc2OC)cc1OC,prior,CCOc1ccc(C(=O)NCc2ccccc2OC)cc1OC,1
175,COc1ccc(N2CCCC2=C)cc1C(=O)Nc1ccccc1OC(C)(C)C,prior,C=C1CCCN1c1ccc(OC)c(C(=O)Nc2ccccc2OC(C)(C)C)c1,1
176,CN(C)S(=O)(=O)c1cc(-c2c(Cl)cccc2Cl)ccc1-c1ccc(Cl)cc1,prior,CN(C)S(=O)(=O)c1cc(-c2c(Cl)cccc2Cl)ccc1-c1ccc(Cl)cc1,1
177,O=C(c1ccccc1)c1cc(CN(C)C)ccc1NC(=O)C1=CCCCC1,prior,CN(C)Cc1ccc(NC(=O)C2=CCCCC2)c(C(=O)c2ccccc2)c1,1
178,CCOC(=O)C1(C)CCc2ccc(O)c(OC)c12,prior,CCOC(=O)C1(C)CCc2ccc(O)c(OC)c21,1
179,O=C1CC(c2ccc(O)cc2Cl)C1=O.[Ca+],prior,O=C1CC(c2ccc(O)cc2Cl)C1=O.[Ca+],1
183,CCCCNC(=O)CN(C)CCOC(=O)[C@@H](N)C(=O)O,prior,CCCCNC(=O)CN(C)CCOC(=O)[C@@H](N)C(=O)O,1
185,COc1ccccc1C(O)c1ccnc2ccccc12,prior,COc1ccccc1C(O)c1ccnc2ccccc12,1
187,COc1c(F)c(C(F)(F)F)ccc1NC(=O)C(Oc1ccc(-n2c(C)ccc2C(F)(F)F)[nH]1)c1ccc(C(=O)O)cc1,prior,COc1c(NC(=O)C(Oc2ccc(-n3c(C)ccc3C(F)(F)F)[nH]2)c2ccc(C(=O)O)cc2)ccc(C(F)(F)F)c1F,1
188,O=[N+]([O-])CCc1ccc2ccc(O)cc2c1.Cl,prior,Cl.O=[N+]([O-])CCc1ccc2ccc(O)cc2c1,1
190,Cc1ncn(Cc2ccccc2)c1Sc1ccc(NC(=O)c2cn(Cc3ccccc3)nn2)o1,prior,Cc1ncn(Cc2ccccc2)c1Sc1ccc(NC(=O)c2cn(Cc3ccccc3)nn2)o1,1
191,CCOc1c(C)c(-c2c[nH]cc2-c2ccc(OC)c(OC)c2)ncc1Cl,prior,CCOc1c(Cl)cnc(-c2c[nH]cc2-c2ccc(OC)c(OC)c2)c1C,1
192,CCOC(=O)C1CCCCN1,prior,CCOC(=O)C1CCCCN1,1
193,CCC(C)c1nc(OC)c(C)n1CCN1CCOCC1,prior,CCC(C)c1nc(OC)c(C)n1CCN1CCOCC1,1
195,COc1cc(NC(=O)CNc2nnnn2-c2ccccc2)ccc1OCC(=O)Nc1ccc(Cl)cc1,prior,COc1cc(NC(=O)CNc2nnnn2-c2ccccc2)ccc1OCC(=O)Nc1ccc(Cl)cc1,1
196,CC(C)CN1CCN(C2CCCC2)N(c2ncnc3ncccc23)CC1,prior,CC(C)CN1CCN(c2ncnc3ncccc23)N(C2CCCC2)CC1,1
197,CC1(C)OC[C@@H]2[C@H](CCN(C(C)C)CCCN2C(=O)[C@H](CC(=O)CC)[C@@H](O)CN(C(=O)C(C)(C)C)C1)OCCN,prior,CCC(=O)C[C@H]1C(=O)N2CCCN(C(C)C)CC[C@H](OCCN)[C@H]2COC(C)(C)CN(C(=O)C(C)(C)C)C[C@@H]1O,1
198,CCCCCCCOC(=O)[C@H](NC(=O)[C@@H](c1ccccc1)NC(=O)N(c1ccc(F)cc1F)C(=O)NCCCNCC(=O)NO)C(=O)O,prior,CCCCCCCOC(=O)[C@H](NC(=O)[C@H](NC(=O)N(C(=O)NCCCNCC(=O)NO)c1ccc(F)cc1F)c1ccccc1)C(=O)O,1
199,O=C(O)CC(=O)N[C@@H]1CC[C@H](O)[C@H](OC(=O)Oc2cccc(N(C)C)n2)C1,prior,CN(C)c1cccc(OC(=O)O[C@@H]2C[C@H](NC(=O)CC(=O)O)CC[C@@H]2O)n1,1
